Headline,Publisher,URL
Meta’s virtual reality project will finally have legs – literally,The Guardian,https://www.theguardian.com/technology/2022/oct/12/meta-virtual-reality-legs-mark-zuckerberg-facebook
UK homes can become virtual power plants to avoid outages,The Guardian,https://www.theguardian.com/business/2022/oct/20/uk-homes-national-grid-virtual-power-plants-outages-electricity
Virtual Spanish civil war museum aims to cut through political divide,The Guardian,https://www.theguardian.com/world/2022/oct/10/virtual-spanish-civil-war-museum-aims-to-cut-through-political-divide
"At Qatar 2022 even when the game begins, the virtual world still seeps in | Jonathan Liew",The Guardian,https://www.theguardian.com/football/2022/nov/28/world-cup-technology-fans-qatar-2022
Queen to miss virtual privy council meeting after doctors advise rest,The Guardian,https://www.theguardian.com/uk-news/2022/sep/07/queen-to-miss-virtual-privy-council-meeting-after-doctors-advise-rest
The virtual jury’s out as appetite for true crime podcasts grows,The Guardian,https://www.theguardian.com/tv-and-radio/2022/sep/04/the-virtual-jurys-out-as-appetite-for-true-podcasts-grows
A testing time for schools to do better | Letter,The Guardian,https://www.theguardian.com/education/2022/oct/28/a-testing-time-for-schools-to-do-better
Irish police investigate abuse claims against elite Spiritan schools,The Guardian,https://www.theguardian.com/world/2022/nov/11/irish-police-investigate-abuse-claims-against-elite-spiritan-schools
Keir Starmer attacks Sunak over tax benefits for private schools,The Guardian,https://www.theguardian.com/politics/2022/nov/30/starmer-private-school-trickle-down-education
Are AI-powered ‘virtual rappers’ just a strange new form of Blackface? | Akin Olla,The Guardian,https://www.theguardian.com/commentisfree/2022/sep/01/are-ai-powered-virtual-rappers-just-a-strange-new-form-of-blackface
